bucket,sector,code,static_name,official_name,evidence,live_predictions
R_字面命中,白酒,161725,"招商中证白酒指数(LOF)A","招商中证白酒指数(LOF)A","官方名含板块核心词",57
R_字面命中,食品饮料,160222,"国泰国证食品饮料行业(LOF)A","国泰国证食品饮料行业(LOF)A","官方名含板块核心词",0
R_字面命中,消费,159928,"消费ETF汇添富","消费ETF汇添富","官方名含板块核心词",31
R_字面命中,家电,159996,"家电ETF国泰","家电ETF国泰","官方名含板块核心词",0
R_字面命中,消费电子,159732,"消费电子ETF华夏","消费电子ETF华夏","官方名含板块核心词",1
R_字面命中,医药,512010,"医药ETF易方达","医药ETF易方达","官方名含板块核心词",51
R_字面命中,医疗器械,159898,"医疗器械ETF招商","医疗器械ETF招商","官方名含板块核心词",0
R_字面命中,创新药,159858,"创新药ETF南方","创新药ETF南方","官方名含板块核心词",72
R_字面命中,中药,159647,"中药ETF鹏华","中药ETF鹏华","官方名含板块核心词",8
R_字面命中,生物科技,501009,"汇添富中证生物科技指数(LOF)A","汇添富中证生物科技指数(LOF)A","官方名含板块核心词",0
R_字面命中,半导体,512480,"半导体ETF国联安","半导体ETF国联安","官方名含板块核心词",122
R_字面命中,芯片,159995,"芯片ETF华夏","芯片ETF华夏","官方名含板块核心词",4
R_字面命中,人工智能,515070,"人工智能ETF华夏","人工智能ETF华夏","官方名含板块核心词",54
R_字面命中,AI,515070,"人工智能ETF华夏","人工智能ETF华夏","官方名含板块核心词",3
R_字面命中,科技,515000,"科技ETF华宝","科技ETF华宝","官方名含板块核心词",83
R_字面命中,计算机,512720,"计算机ETF国泰","计算机ETF国泰","官方名含板块核心词",0
R_字面命中,软件,515230,"软件ETF国泰","软件ETF国泰","官方名含板块核心词",2
R_字面命中,通信,515880,"通信ETF国泰","通信ETF国泰","官方名含板块核心词",28
R_字面命中,5G,159811,"5GETF博时","5GETF博时","官方名含板块核心词",0
R_字面命中,云计算,516510,"云计算ETF易方达","云计算ETF易方达","官方名含板块核心词",9
R_字面命中,大数据,515400,"大数据ETF富国","大数据ETF富国","官方名含板块核心词",0
R_字面命中,机器人,562500,"机器人ETF华夏","机器人ETF华夏","官方名含板块核心词",29
R_字面命中,新能源,516160,"新能源ETF南方","新能源ETF南方","官方名含板块核心词",6
R_字面命中,新能源车,515030,"新能源车ETF华夏","新能源车ETF华夏","官方名含板块核心词",27
R_字面命中,光伏,515790,"光伏ETF华泰柏瑞","光伏ETF华泰柏瑞","官方名含板块核心词",48
R_字面命中,储能,159305,"储能电池ETF广发","储能电池ETF广发","官方名含板块核心词",7
R_字面命中,锂电池,159840,"锂电池ETF工银","锂电池ETF工银","官方名含板块核心词",21
R_字面命中,军工,512660,"军工ETF国泰","军工ETF国泰","官方名含板块核心词",35
R_字面命中,国防,512670,"国防ETF鹏华","国防ETF鹏华","官方名含板块核心词",0
R_字面命中,船舶,560710,"船舶ETF富国","船舶ETF富国","官方名含板块核心词",0
R_字面命中,银行,001594,"天弘中证银行ETF联接A","天弘中证银行ETF联接A","官方名含板块核心词",10
R_字面命中,券商,512000,"券商ETF华宝","券商ETF华宝","官方名含板块核心词",37
R_字面命中,证券,512880,"证券ETF国泰","证券ETF国泰","官方名含板块核心词",24
R_字面命中,保险,167301,"方正富邦中证保险A","方正富邦中证保险A","官方名含板块核心词",2
R_字面命中,房地产,160218,"国泰国证房地产行业指数A","国泰国证房地产行业指数A","官方名含板块核心词",8
R_字面命中,地产,160218,"国泰国证房地产行业指数A","国泰国证房地产行业指数A","官方名含板块核心词",0
R_字面命中,基建,159619,"基建ETF国泰","基建ETF国泰","官方名含板块核心词",0
R_字面命中,有色,160221,"国泰国证有色金属行业指数(LOF)A","国泰国证有色金属行业指数(LOF)A","官方名含板块核心词",4
R_字面命中,有色金属,160221,"国泰国证有色金属行业指数(LOF)A","国泰国证有色金属行业指数(LOF)A","官方名含板块核心词",41
R_字面命中,煤炭,161724,"招商中证煤炭等权指数(LOF)A","招商中证煤炭等权指数(LOF)A","官方名含板块核心词",26
R_字面命中,钢铁,515210,"钢铁ETF国泰","钢铁ETF国泰","官方名含板块核心词",8
R_字面命中,化工,159870,"化工ETF鹏华","化工ETF鹏华","官方名含板块核心词",14
R_字面命中,石油,159148,"石油ETF富国","石油ETF富国","官方名含板块核心词",2
R_字面命中,油气,159309,"油气ETF汇添富","油气ETF汇添富","官方名含板块核心词",1
R_字面命中,黄金,518880,"黄金ETF华安","黄金ETF华安","官方名含板块核心词",78
R_字面命中,白银,161226,"国投瑞银白银期货(LOF)A","国投瑞银白银期货(LOF)A","官方名含板块核心词",1
R_字面命中,稀土,516780,"稀土ETF华泰柏瑞","稀土ETF华泰柏瑞","官方名含板块核心词",0
R_字面命中,电力,159146,"电力ETF华宝","电力ETF华宝","官方名含板块核心词",32
R_字面命中,绿色电力,561170,"绿色电力ETF富国","绿色电力ETF富国","官方名含板块核心词",15
R_字面命中,环保,512580,"环保ETF广发","环保ETF广发","官方名含板块核心词",0
R_字面命中,水务,508006,"富国首创水务REIT","富国首创水务REIT","官方名含板块核心词",0
R_字面命中,物流,516910,"物流ETF富国","物流ETF富国","官方名含板块核心词",0
R_字面命中,航空,158009,"航空航天ETF南方","航空航天ETF南方","官方名含板块核心词",1
R_字面命中,恒生科技,513180,"恒生科技ETF华夏","恒生科技ETF华夏","官方名含板块核心词",57
R_字面命中,恒科,513180,"恒生科技ETF华夏","恒生科技ETF华夏","只与板块共用一个汉字（弱命中，不等于"已核对"）",0
R_字面命中,港股医药,159718,"港股医药ETF平安","港股医药ETF平安","官方名含板块核心词",0
R_字面命中,港股消费,159735,"港股消费ETF银华","港股消费ETF银华","官方名含板块核心词",0
R_字面命中,港股通,513990,"港股通ETF招商","港股通ETF招商","官方名含板块核心词",0
R_字面命中,日经,513520,"日经ETF华夏","日经ETF华夏","官方名含板块核心词",3
R_字面命中,标普,513500,"标普500ETF博时","标普500ETF博时","官方名含板块核心词",1
R_字面命中,互联网,517200,"互联网ETF嘉实","互联网ETF嘉实","官方名含板块核心词",1
R_字面命中,游戏,159869,"游戏ETF华夏","游戏ETF华夏","官方名含板块核心词",2
R_字面命中,传媒,512980,"传媒ETF广发","传媒ETF广发","官方名含板块核心词",18
R_字面命中,影视,159855,"影视ETF银华","影视ETF银华","官方名含板块核心词",0
R_字面命中,教育,513360,"教育ETF博时","教育ETF博时","官方名含板块核心词",0
R_字面命中,沪深300,510300,"沪深300ETF华泰柏瑞","沪深300ETF华泰柏瑞","官方名含板块核心词",5
R_字面命中,中证500,510500,"中证500ETF南方","中证500ETF南方","官方名含板块核心词",4
R_字面命中,创业板,159915,"创业板ETF易方达","创业板ETF易方达","官方名含板块核心词",28
R_字面命中,科创50,588000,"科创50ETF华夏","科创50ETF华夏","官方名含板块核心词",3
R_字面命中,上证50,510100,"上证50ETF易方达","上证50ETF易方达","官方名含板块核心词",0
R_字面命中,中证1000,159845,"中证1000ETF华夏","中证1000ETF华夏","官方名含板块核心词",0
R_字面命中,红利,510880,"红利ETF华泰柏瑞","红利ETF华泰柏瑞","官方名含板块核心词",52
R_字面命中,红利低波,512890,"红利低波ETF华泰柏瑞","红利低波ETF华泰柏瑞","官方名含板块核心词",7
R_字面命中,高股息,159207,"高股息ETF广发","高股息ETF广发","官方名含板块核心词",0
R_字面命中,低波,512890,"红利低波ETF华泰柏瑞","红利低波ETF华泰柏瑞","官方名含板块核心词",0
R_字面命中,央企,512950,"央企改革ETF华夏","央企改革ETF华夏","官方名含板块核心词",1
R_字面命中,国企,510270,"国企ETF中银","国企ETF中银","官方名含板块核心词",0
R_字面命中,自由现金流,159201,"自由现金流ETF华夏","自由现金流ETF华夏","官方名含板块核心词",2
R_字面命中,豆粕,159985,"豆粕ETF华夏","豆粕ETF华夏","官方名含板块核心词",0
R_字面命中,能源化工,159981,"能源化工ETF建信","能源化工ETF建信","官方名含板块核心词",0
R_字面命中,有色金属商品,159980,"有色ETF大成","有色ETF大成","只与板块共用一个汉字（弱命中，不等于"已核对"）",0
R_字面命中,算力,158041,"创业板算力ETF华夏","创业板算力ETF华夏","官方名含板块核心词",16
R_字面命中,信创,562570,"信创ETF华夏","信创ETF华夏","官方名含板块核心词",0
R_字面命中,智能驾驶,516520,"智能驾驶ETF华泰柏瑞","智能驾驶ETF华泰柏瑞","官方名含板块核心词",0
R_字面命中,旅游,159766,"旅游ETF富国","旅游ETF富国","官方名含板块核心词",1
R_字面命中,农业,159825,"农业ETF富国","农业ETF富国","官方名含板块核心词",28
R_字面命中,养殖,159865,"养殖ETF国泰","养殖ETF国泰","官方名含板块核心词",1
R_字面命中,汽车,516110,"汽车ETF国泰","汽车ETF国泰","官方名含板块核心词",6
R1_弱命中有同名,医疗,512010,"医药ETF易方达","医药ETF易方达","只共用一个汉字，名册里有含整词的同名标的：158010:医疗ETF嘉实、159898:医疗器械ETF招商",40
R1_弱命中有同名,绿电,561170,"绿色电力ETF富国","绿色电力ETF富国","只共用一个汉字，名册里有含整词的同名标的：159046:绿电ETF天弘",4
R1_弱命中有同名,港股科技,513180,"恒生科技ETF华夏","恒生科技ETF华夏","只共用一个汉字，名册里有含整词的同名标的：159128:港股科技ETF天弘",0
R1_弱命中有同名,中概互联,164906,"交银中证海外中国互联网指数(LOF)A","交银中证海外中国互联网指数(LOF)A","只共用一个汉字，名册里有含整词的同名标的：159605:中概互联ETF广发",0
R1_弱命中有同名,中概,164906,"交银中证海外中国互联网指数(LOF)A","交银中证海外中国互联网指数(LOF)A","只共用一个汉字，名册里有含整词的同名标的：159605:中概互联ETF广发",0
R1_弱命中有同名,日本,513520,"日经ETF华夏","日经ETF华夏","只共用一个汉字，名册里有含整词的同名标的：513800:日本东证指数ETF南方",0
